ano,mes,atendimento,transferido,id_atendimento,sigla_orgao_entrada,sigla_orgao_saida,sigla_orgao_primeiro_encaminhamento,sigla_orgao_segundo_encaminhamento,sigla_orgao_terceiro_encaminhamento,municipio,uf,municipio_ocorrido,uf_municipio_fato_ocorrido,area,assunto,natureza,tipo_identificacao,forma_atendimento,programa,priorizacao,status,sexo,data_atendimento,data_prazo,data_carta,tipo_pessoa
2021.0,6.0,2021011528,Normal,420246,OGE,SED,SED,,,TUBARAO,SC,TUBARAO,SC,Educação,Estágio curricular,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Física
2021.0,6.0,2021011497,Normal,420214,OGE,ARESC,SDE,ARESC,,PAULO LOPES,SC,PAULO LOPES,SC,Desenvolvimento Econômico Sustentável,Horários de ônibus,Solicitação,Identificado,Telefone,Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Não informado
2021.0,6.0,2021011478,Normal,420195,OGE,SED,SED,CRE - Brusque,,BRUSQUE,SC,BRUSQUE,SC,Educação,Covid-19,Reclamação,Anônimo,Telefone,Ouvidoria externa,Normal,Encaminhado,Não informado,2021-06-07,2021-06-27,,Não informado
2021.0,6.0,2021011430,Normal,420139,OGE,SED,SED,CRE - Blumenau,,ILHOTA,SC,GASPAR,SC,Educação,Covid-19,Reclamação,Sigiloso,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Física
2021.0,6.0,2021011401,Normal,420110,OGE,SED,SED,CRE - Joinville,,BARRA VELHA,SC,BARRA VELHA,SC,Educação,Comportamento do servidor,Reclamação,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-06-05,2021-06-25,,Não informado
2021.0,6.0,2021011399,Normal,420108,OGE,SED,SED,CRE - Canoinhas,,IRINEOPOLIS,SC,IRINEOPOLIS,SC,Educação,Covid-19,Denúncia,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-06-05,2021-06-25,,Não informado
2021.0,6.0,2021011384,Normal,420093,OGE,Sem Tramit.,Sem Tramit.,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Administração,Falta de dados,Solicitação,Identificado,Internet (portal),Ouvidoria interna,Normal,Concluido,Masculino,2021-06-05,2021-06-25,2021-06-07,Física
2021.0,6.0,OGE2021011373T00428,Transferido,420082,E-SIC,,,,,FLORIANOPOLIS,SC,,,,,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),,,Concluido,Masculino,2021-06-04,2021-06-19,,Física
2021.0,6.0,2021011309,Normal,420018,E-SIC,CC,CC,,,FLORIANOPOLIS,SC,,,Casa Civil,Covid-19,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-03,2021-06-18,,Física
2021.0,6.0,2021011299,Normal,420008,OGE,SES,SES,,,GOVERNADOR CELSO RAMOS,SC,GOVERNADOR CELSO RAMOS,SC,Saúde,Vacinação,Solicitação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-03,2021-06-23,,Não informado
2021.0,6.0,2021011280,Normal,419989,OGE,SED,SED,,,PAPANDUVA,SC,PAPANDUVA,SC,Educação,Vacinação,Solicitação,Anônimo,Internet (portal),Ouvidoria interna,Normal,Concluido,Não informado,2021-06-02,2021-06-22,2021-06-07,Não informado
2021.0,6.0,2021011274,Normal,419983,OGE,SED,SED,CRE- Tubarão,,TUBARAO,SC,TUBARAO,SC,Educação,Comportamento do servidor,Solicitação,Sigiloso,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Feminino,2021-06-02,2021-06-22,,Não informado
2021.0,6.0,2021011268,Normal,419977,OGE,SES,SES,,,BLUMENAU,SC,BLUMENAU,SC,Saúde,Vacinação,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-06-02,2021-06-22,,Física
2021.0,6.0,2021011265,Normal,419974,OGE,PM,SSP,CGPM Fpolis,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Covid-19,Denúncia,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-06-02,2021-06-22,,Não informado
2021.0,6.0,2021011259,Normal,419968,OGE,SED,SED,,,BIGUACU,SC,BIGUACU,SC,Educação,Informações/escola estadual,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-02,2021-06-22,,Não informado
2021.0,6.0,2021011239,Normal,419945,OGE,SEF,SEF,,,ITAJAI,SC,ITAJAI,SC,Fazenda,Impostos/ICMS,Reclamação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-06-02,2021-06-22,2021-06-02,Não informado
2021.0,6.0,2021011230,Normal,419936,OGE,Sem Tramit.,Sem Tramit.,,,FLORIANOPOLIS,SC,ALFREDO WAGNER,SC,Não Aplicável,Competência municipal,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-06-02,2021-06-22,2021-06-02,Física
2021.0,6.0,2021011189,Normal,419892,E-SIC,IMA,IMA,,,FLORIANOPOLIS,SC,,,FATMA,Cópia Documentos,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-02,2021-06-17,,Física
2021.0,6.0,2021011178,Normal,419881,OGE,IGP,SSP,IGP,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Mau atendimento,Reclamação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-06-02,2021-06-22,2021-06-02,Física
2021.0,6.0,2021011171,Normal,419874,OGE,SED,SED,Cood. Fpolis,,RANCHO QUEIMADO,SC,RANCHO QUEIMADO,SC,Educação,Comportamento do servidor,Solicitação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-01,2021-06-21,,Física
2021.0,5.0,2021011066,Normal,419863,OGE,SES,SES,,,LAGES,SC,LAGES,SC,Saúde,Vacinação,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-31,2021-06-20,,Não informado
2021.0,6.0,2021011153,Normal,419855,OGE,DETRAN,DETRAN,,,ITAPEMA,SC,BALNEARIO CAMBORIU,SC,DETRAN,Habilitação,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-06-01,2021-06-21,2021-06-07,Não informado
2021.0,6.0,2021011131,Normal,419833,OGE,SED,SED,Cood. Fpolis,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Educação,Covid-19,Denúncia,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-06-01,2021-06-21,,Não informado
2021.0,6.0,2021011076,Normal,419777,OGE,CC,CC,,,CRICIUMA,SC,CRICIUMA,SC,Casa Civil,Sugestões ao governo,Sugestão,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-01,2021-06-21,,Não informado
2021.0,5.0,OGE2021011066T00414,Transferido,419767,E-SIC,,,,,LAGES,SC,,,,,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),,,Concluido,Feminino,2021-05-31,2021-06-15,,Não informado
2021.0,5.0,2021011045,Normal,419741,OGE,CC,CC,,,SANTO AMARO DA IMPERATRIZ,SC,FLORIANOPOLIS,SC,Casa Civil,Sugestões ao governo,Sugestão,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021011023,Normal,419718,OGE,SED,SED,,,PALHOCA,SC,PALHOCA,SC,Educação,Comportamento do servidor,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021011021,Normal,419716,OGE,SES,SES,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Saúde,Falta de Equipamentos Proteção Individual - EPIS,Denúncia,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021011019,Normal,419714,OGE,SED,SED,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Educação,Informações/escola estadual,Solicitação,Identificado,Telefone,Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021011012,Normal,419707,OGE,SED,SED,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Educação,Informações/escola estadual,Reclamação,Identificado,Telefone,Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021010994,Normal,419687,OGE,SED,SED,,,JOINVILLE,SC,JOINVILLE,SC,Educação,Informações/escola estadual,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021010985,Normal,419676,OGE,Sem Tramit.,Sem Tramit.,,,LUZERNA,SC,LUZERNA,SC,Não Aplicável,Competência municipal,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-31,2021-06-20,2021-05-31,Não informado
2021.0,5.0,2021010976,Normal,419660,OGE,SES,SES,,,JOINVILLE,SC,JOINVILLE,SC,Saúde,Serviços prestados pelos hospitais,Reclamação,Identificado,Telefone,Ouvidoria externa,Normal,Concluido,Feminino,2021-05-31,2021-06-20,2021-06-07,Não informado
2021.0,5.0,2021010961,Normal,419643,OGE,DETRAN,DETRAN,,,XANXERE,SC,XANXERE,SC,DETRAN,Serviços Prestados pelo Detran,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-31,2021-06-20,2021-06-02,Não informado
2021.0,5.0,2021010957,Normal,419639,OGE,PM,SSP,CGPM Fpolis,1RPM Fpolis,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-31,2021-06-20,,Não informado
2021.0,5.0,2021010948,Normal,419630,OGE,DETRAN,DETRAN,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,DETRAN,Habilitação,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-31,2021-06-20,2021-05-31,Física
2021.0,5.0,2021010889,Normal,419571,OGE,SED,SED,CRE- Tubarão,,TUBARAO,SC,TUBARAO,SC,Educação,Comportamento do servidor,Solicitação,Sigiloso,Internet (portal),Ouvidoria interna,Normal,Concluido,Feminino,2021-05-29,2021-06-18,2021-06-02,Não informado
2021.0,5.0,2021010869,Normal,419551,OGE,CIDASC,SAR,CIDASC,,BALNEARIO CAMBORIU,SC,BALNEARIO CAMBORIU,SC,Agricultura,Fiscalização relativa a agricultura e pecuária,Solicitação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-29,2021-06-18,2021-06-07,Não informado
2021.0,5.0,2021010846,Normal,419528,OGE,PC,SSP,PC,DPOI,VIDEIRA,SC,VIDEIRA,SC,Segurança Pública,Covid-19,Denúncia,Identificado,Internet (portal),Ouvidoria interna,Normal,Concluido,Feminino,2021-05-28,2021-06-17,2021-06-01,Física
2021.0,5.0,2021010832,Normal,419514,OGE,SES,SES,,,JOINVILLE,SC,JOINVILLE,SC,Saúde,Vacinação,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-28,2021-06-17,,Física
2021.0,5.0,2021010830,Normal,419512,OGE,PM,SSP,CGPM Fpolis,2RPM LAGES,TRES BARRAS,SC,TRES BARRAS,SC,Segurança Pública,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-28,2021-06-17,,Não informado
2021.0,5.0,2021010822,Normal,419502,OGE,SAP,SAP,DEAP,,SANTO ANTONIO DO SUDOESTE,PR,JOINVILLE,SC,Administração Prisional,Presídios - sistema penitenciário,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-28,2021-06-17,2021-06-07,Física
2021.0,5.0,2021010759,Normal,419438,OGE,IGP,SSP,IGP,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Agendamento de Atendimento,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-28,2021-06-17,2021-05-28,Física
2021.0,5.0,2021010751,Normal,419430,OGE,DETRAN,DETRAN,,,JOACABA,SC,JOACABA,SC,DETRAN,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-28,2021-06-17,2021-05-31,Não informado
2021.0,5.0,2021010744,Normal,419423,OGE,SED,SED,,,CHAPECO,SC,CHAPECO,SC,Educação,"Transferência, realocação e remoção funcional",Solicitação,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-05-28,2021-06-17,,Não informado
2021.0,5.0,2021010663,Normal,419340,OGE,SED,SED,CRE-Timbó,,BENEDITO NOVO,SC,BENEDITO NOVO,SC,Educação,Covid-19,Solicitação,Sigiloso,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Feminino,2021-05-27,2021-06-16,,Não informado
2021.0,5.0,2021010649,Normal,419324,OGE,SES,SES,,,CONCORDIA,SC,CONCORDIA,SC,Saúde,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-27,2021-06-16,2021-06-07,Não informado
2021.0,5.0,2021010541,Normal,419215,OGE,SED,SED,CRE - Blumenau,,BLUMENAU,SC,BLUMENAU,SC,Educação,Covid-19,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-26,2021-06-15,,Não informado
2021.0,5.0,2021010537,Normal,419210,OGE,IGP,SSP,IGP,,SAO JOSE,SC,PALHOCA,SC,Segurança Pública,Mau atendimento,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-26,2021-06-15,2021-06-07,Física
2021.0,5.0,2021010532,Normal,419204,OGE,IGP,SSP,IGP,,ITAJAI,SC,ITAJAI,SC,Segurança Pública,Agendamento de Atendimento,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-26,2021-06-15,2021-05-27,Física
2021.0,5.0,2021010483,Normal,419151,OGE,SED,SED,CRE- Itajaí,,CAMBORIU,SC,CAMBORIU,SC,Educação,Informações/escola estadual,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-26,2021-06-15,,Não informado
2021.0,5.0,2021010464,Normal,419131,OGE,SED,SED,,,BOTUVERA,SC,BOTUVERA,SC,Educação,Vacinação,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-26,2021-06-15,,Física
2021.0,5.0,2021010463,Normal,419130,OGE,SED,SED,CRE-Timbó,,TIMBO,SC,BENEDITO NOVO,SC,Educação,Covid-19,Reclamação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-26,2021-06-15,,Física
2021.0,5.0,2021010445,Normal,419112,OGE,Sem Tramit.,Sem Tramit.,,,CRICIUMA,SC,CRICIUMA,SC,Não Aplicável,Não é de Competência da OGE,Sugestão,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-26,2021-06-15,2021-05-26,Não informado
2021.0,5.0,2021010438,Normal,419105,E-SIC,CC,CC,,,FLORIANOPOLIS,SC,,,Administração,Acesso Processo SGP-e,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-05-26,2021-06-10,,Física
2021.0,5.0,2021010428,Normal,419095,OGE,DETRAN,DETRAN,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,DETRAN,Serviços Prestados pelo Detran,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-26,2021-06-15,2021-05-27,Física
2021.0,5.0,2021010427,Normal,419094,OGE,SED,SED,,,SAO JOSE,SC,SAO JOSE,SC,Educação,Informações de Rodovias Estaduais,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-26,2021-06-15,,Física
2021.0,5.0,2021010422,Normal,419089,OGE,PM,SSP,CGPM Fpolis,7RPM Blum,BRUSQUE,SC,BRUSQUE,SC,Segurança Pública,Covid-19,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-26,2021-06-15,2021-05-31,Física
2021.0,5.0,2021010412,Normal,419078,OGE,Sem Tramit.,Sem Tramit.,,,CONCORDIA,SC,CONCORDIA,SC,Educação,Falta de dados,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-25,2021-06-14,2021-05-26,Não informado
2021.0,5.0,2021010390,Normal,419052,OGE,DETRAN,DETRAN,,,JOINVILLE,SC,JOINVILLE,SC,DETRAN,Serviços Prestados pelo Detran,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-05-25,2021-06-14,,Física
2021.0,5.0,2021010369,Normal,419033,E-SIC,SED,SED,,,SAO PAULO,SP,,,Educação,Informações/documentos,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-05-25,2021-06-09,,Física
2021.0,5.0,2021010370,Normal,419031,OGE,Sem Tramit.,Sem Tramit.,,,PALHOCA,SC,PALHOCA,SC,Não Aplicável,Competência municipal,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-25,2021-06-14,2021-05-25,Física
2021.0,5.0,E-SIC2021010369T00374,Transferido,419030,OGE,,,,,SAO PAULO,SP,FLORIANOPOLIS,SC,,,Solicitação,Identificado,Internet (portal),,,Concluido,Masculino,2021-05-25,2021-06-14,,Física
2021.0,5.0,2021010366,Normal,419027,OGE,DETRAN,DETRAN,,,PALHOCA,SC,PALHOCA,SC,DETRAN,Serviços Prestados pelo Detran,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-05-25,2021-06-14,,Física
2021.0,5.0,2021010340,Normal,419001,OGE,IGP,SSP,IGP,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Agendamento de Atendimento,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-25,2021-06-14,2021-05-25,Física
2021.0,5.0,2021010320,Normal,418978,OGE,SED,SED,CRE- Itajaí,,BALNEARIO CAMBORIU,SC,BALNEARIO CAMBORIU,SC,Educação,Comportamento do servidor,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-05-25,2021-06-14,,Física
2021.0,5.0,2021010304,Normal,418962,OGE,SED,SED,CRE- Campos Novos,,VARGEM BONITA,SC,VARGEM BONITA,SC,Educação,Informações/escola estadual,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-25,2021-06-14,2021-05-27,Não informado
2021.0,5.0,2021010296,Normal,418954,OGE,SES,SES,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Saúde,Covid-19,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-05-25,2021-06-14,2021-05-25,Não informado
2021.0,5.0,2021010289,Normal,418947,OGE,SED,SED,,,MARAVILHA,SC,MARAVILHA,SC,Educação,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-05-25,2021-06-14,,Não informado
2021.0,5.0,2021010275,Normal,418933,OGE,DETRAN,DETRAN,,,ABDON BATISTA,SC,ABDON BATISTA,SC,DETRAN,Serviços Prestados pelo Detran,Solicitação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-24,2021-06-13,2021-05-26,Não informado
2021.0,5.0,2021010251,Normal,418905,OGE,SED,SED,CRE - Blumenau,,BLUMENAU,SC,BLUMENAU,SC,Educação,Informações/escola estadual,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-24,2021-06-13,,Física
2021.0,5.0,2021010152,Normal,418797,OGE,SES,SES,,,JARAGUA DO SUL,SC,JARAGUA DO SUL,SC,Saúde,Vacinação,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-24,2021-06-13,,Não informado
2021.0,5.0,2021010106,Normal,418751,OGE,CBM,SSP,CBM/SC,DLFCBM,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Sugestões ao governo,Sugestão,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-23,2021-06-12,,Não informado
2021.0,5.0,2021010104,Normal,418749,OGE,CC,CC,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Casa Civil,Covid-19,Solicitação,Anônimo,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Não informado,2021-05-23,2021-06-12,,Não informado
2021.0,5.0,2021010096,Normal,418741,OGE,Sem Tramit.,Sem Tramit.,,,AGROLANDIA,SC,AGROLANDIA,SC,Educação,Atendimento em Duplicidade,Reclamação,Identificado,Internet (portal),Ouvidoria interna,Normal,Concluido,Feminino,2021-05-23,2021-06-12,2021-05-24,Física
2021.0,5.0,2021010095,Normal,418740,OGE,SED,SED,CRE- Rio Do Sul,,AGROLANDIA,SC,AGROLANDIA,SC,Educação,Comportamento do servidor,Reclamação,Identificado,Internet (portal),Ouvidoria interna,Normal,Encaminhado,Feminino,2021-05-23,2021-06-12,,Física
2021.0,5.0,2021010085,Normal,418730,OGE,Sem Tramit.,Sem Tramit.,,,PALHOCA,SC,PALHOCA,SC,Segurança Pública,Falta de dados,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-22,2021-06-11,2021-05-24,Física
2021.0,5.0,2021010078,Normal,418723,OGE,IMA,IMA,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,FATMA,Administração de Parque,Reclamação,Identificado,Internet (portal),Ouvidoria ambiental,Normal,Encaminhado,Masculino,2021-05-22,2021-06-11,,Física
2021.0,5.0,2021010063,Normal,418708,E-SIC,SED,SED,,,PASSA QUATRO,MG,,,Educação,Informações/documentos,Solicitação Documentos/Informações/Lei de Acesso à Informação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-05-21,2021-06-05,,Física
2021.0,5.0,2021010061,Normal,418706,OGE,Sem Tramit.,Sem Tramit.,,,CRICIUMA,SC,CRICIUMA,SC,Não Identificável,Falta de dados,Reclamação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-21,2021-06-10,2021-05-24,Física
2021.0,5.0,2021010039,Normal,418683,OGE,Sem Tramit.,Sem Tramit.,,,ARARANGUA,SC,ARROIO TRINTA,SC,DETRAN,Falta de Dados Detran,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Masculino,2021-05-21,2021-06-10,2021-05-21,Física
2021.0,5.0,2021010031,Normal,418675,OGE,Sem Tramit.,Sem Tramit.,,,CAMPOS NOVOS,SC,CAMPOS NOVOS,SC,Educação,Falta de dados,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Concluido,Não informado,2021-05-21,2021-06-10,2021-05-21,Não informado
2021.0,5.0,2021010028,Normal,418672,OGE,PM,SSP,CGPM Fpolis,11RPM Sj,BIGUACU,SC,BIGUACU,SC,Segurança Pública,Covid-19,Denúncia,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-05-21,2021-06-10,,Não informado
2021.0,5.0,2021010021,Normal,418664,OGE,SED,SED,CRE- Chapecó,,CHAPECO,SC,CHAPECO,SC,Educação,Covid-19,Denúncia,Anônimo,Internet (portal),Ouvidoria interna,Normal,Concluido,Não informado,2021-05-21,2021-06-10,2021-05-25,Não informado
